int	string	int	int	string	string	string	string	int	int	int	int	int	int
20023		2	2	7级智力宝石	ItemAtlas:item_lanbaoshi007	equip/dl_zhilibaoshi_001.unity3d	智力 +70\n镶嵌在装备的[fce22f]蓝色[-]插槽中			10500	0	70	99
20024		2	2	8级智力宝石	ItemAtlas:item_lanbaoshi008	equip/dl_zhilibaoshi_001.unity3d	智力 +80\n镶嵌在装备的[fce22f]蓝色[-]插槽中			12000	0	80	99
20025		2	2	9级智力宝石	ItemAtlas:item_lanbaoshi009	equip/dl_zhilibaoshi_001.unity3d	智力 +90\n镶嵌在装备的[fce22f]蓝色[-]插槽中			13500	0	90	99
20026		2	2	10级智力宝石	ItemAtlas:item_lanbaoshi010	equip/dl_zhilibaoshi_001.unity3d	智力 +100\n镶嵌在装备的[fce22f]蓝色[-]插槽中			15000	0	100	99
40114		2	2	1级体质宝石	ItemAtlas:item_huangbaoshi001	equip/dl_tilibaoshi_001.unity3d	体质 +10\n镶嵌在装备的[fce22f]黄色[-]插槽中	3	1	1500	0	10	99
16		2	2	2级体质宝石	ItemAtlas:item_huangbaoshi002	equip/dl_tilibaoshi_001.unity3d	体质 +20\n镶嵌在装备的[fce22f]黄色[-]插槽中	3	1	3000	0	20	99
17		2	2	3级体质宝石	ItemAtlas:item_huangbaoshi003	equip/dl_tilibaoshi_001.unity3d	体质 +30\n镶嵌在装备的[fce22f]黄色[-]插槽中	3	1	4500	0	30	99
18		2	2	4级体质宝石	ItemAtlas:item_huangbaoshi004	equip/dl_tilibaoshi_001.unity3d	体质 +40\n镶嵌在装备的[fce22f]黄色[-]插槽中	3	1	6000	0	40	99
19		2	2	5级体质宝石	ItemAtlas:item_huangbaoshi005	equip/dl_tilibaoshi_001.unity3d	体质 +50\n镶嵌在装备的[fce22f]黄色[-]插槽中	4	1	7500	0	50	99
20		2	2	6级体质宝石	ItemAtlas:item_huangbaoshi006	equip/dl_tilibaoshi_001.unity3d	体质 +60\n镶嵌在装备的[fce22f]黄色[-]插槽中	4	1	9000	0	60	99
21		2	2	7级体质宝石	ItemAtlas:item_huangbaoshi007	equip/dl_tilibaoshi_001.unity3d	体质 +70\n镶嵌在装备的[fce22f]黄色[-]插槽中	4	1	10500	0	70	99
22		2	2	8级体质宝石	ItemAtlas:item_huangbaoshi008	equip/dl_tilibaoshi_001.unity3d	体质 +80\n镶嵌在装备的[fce22f]黄色[-]插槽中	4	1	12000	0	80	99
23		2	2	9级体质宝石	ItemAtlas:item_huangbaoshi009	equip/dl_tilibaoshi_001.unity3d	体质 +90\n镶嵌在装备的[fce22f]黄色[-]插槽中	5	1	13500	0	90	99
24		2	2	10级体质宝石	ItemAtlas:item_huangbaoshi010	equip/dl_tilibaoshi_001.unity3d	体质 +100\n镶嵌在装备的[fce22f]黄色[-]插槽中	5	1	15000	0	100	99
