int	int	int	int	int	int	int
992	8	40	59	30	75	150
993	8	60	131	5	36	72
994	8	60	131	6	72	144
995	8	60	131	12	125	250
996	8	60	131	13	250	500
997	8	60	131	16	100	200
998	8	60	131	17	20	40
999	8	60	131	29	50	100
1000	8	60	131	7	20	40
1001	8	60	131	11	100	200
1002	8	60	131	14	63	125
1003	8	60	131	15	125	250
1004	8	60	131	26	75	150
1005	8	60	131	27	75	150
1006	8	60	131	21	5	10
1007	8	60	131	25	50	100
1008	8	60	131	22	100	200
1009	8	60	131	23	100	200
1010	8	60	131	24	10	20
1011	8	60	131	28	25	50
1012	8	60	131	30	100	200
1013	8	132	195	5	72	144
1014	8	132	195	6	144	288
1015	8	132	195	12	150	300
1016	8	132	195	13	300	600
1017	8	132	195	16	100	200
1018	8	132	195	17	25	50
1019	8	132	195	29	100	200
1020	8	132	195	7	25	50
1021	8	132	195	11	200	400
1022	8	132	195	14	75	150
1023	8	132	195	15	150	300
1024	8	132	195	26	75	150
1025	8	132	195	27	75	150
1026	8	132	195	21	5	10
1027	8	132	195	25	50	100
1028	8	132	195	22	100	200
1029	8	132	195	23	100	200
1030	8	132	195	24	13	25
1031	8	132	195	28	50	100
1032	8	132	195	30	125	250
1033	8	196	251	5	144	288
1034	8	196	251	6	288	576
1035	8	196	251	12	175	350
1036	8	196	251	13	350	700
1037	8	196	251	16	100	200
1038	8	196	251	17	50	100
1039	8	196	251	29	100	200
1040	8	196	251	7	50	100
1041	8	196	251	11	400	800
1042	8	196	251	14	88	175
1043	8	196	251	15	175	350
1044	8	196	251	26	75	150
1045	8	196	251	27	75	150
1046	8	196	251	21	5	10
1047	8	196	251	25	50	100
1048	8	196	251	22	100	200
1049	8	196	251	23	100	200
1050	8	196	251	24	25	50
1051	8	196	251	28	75	150
1052	8	196	251	30	150	300
1053	8	252	300	5	288	576
1054	8	252	300	6	576	1152
1055	8	252	300	12	200	400
1056	8	252	300	13	400	800
1057	8	252	300	16	100	200
1058	8	252	300	17	75	150
1059	8	252	300	29	100	200
1060	8	252	300	7	75	150
1061	8	252	300	11	800	1600
1062	8	252	300	14	100	200
1063	8	252	300	15	200	400
1064	8	252	300	26	75	150
1065	8	252	300	27	75	150
1066	8	252	300	21	5	10
1067	8	252	300	25	50	100
1068	8	252	300	22	100	200
1069	8	252	300	23	100	200
1070	8	252	300	24	50	100
1071	8	252	300	28	100	200
1072	8	252	300	30	175	350
1073	9	1	19	5	6	12
1074	9	1	19	6	12	24
1075	9	1	19	12	50	100
1076	9	1	19	13	100	200
1077	9	1	19	16	100	200
1078	9	1	19	17	5	10
1079	9	1	19	7	5	10
1080	9	1	19	11	30	60
1081	9	1	19	14	25	50
1082	9	1	19	15	50	100
1083	9	1	19	23	50	100
1084	9	1	19	24	3	5
1085	9	1	19	28	5	10
1086	9	1	19	30	25	50
1087	9	20	39	5	12	24
1088	9	20	39	6	24	48
1089	9	20	39	12	75	150
1090	9	20	39	13	150	300
1091	9	20	39	16	100	200
1092	9	20	39	17	8	15
1093	9	20	39	29	50	100
1094	9	20	39	7	8	15
1095	9	20	39	11	25	50
1096	9	20	39	14	38	75
1097	9	20	39	15	75	150
1098	9	20	39	26	50	100
1099	9	20	39	27	50	100
1100	9	20	39	21	5	10
1101	9	20	39	25	50	100
1102	9	20	39	22	100	200
1103	9	20	39	23	100	200
1104	9	20	39	24	5	10
1105	9	20	39	28	10	20
1106	9	20	39	30	50	100
1107	9	40	59	5	24	48
1108	9	40	59	6	48	96
1109	9	40	59	12	100	200
1110	9	40	59	13	200	400
1111	9	40	59	16	100	200
1112	9	40	59	17	10	20
1113	9	40	59	29	50	100
1114	9	40	59	7	10	20
1115	9	40	59	11	50	100
1116	9	40	59	14	50	100
1117	9	40	59	15	100	200
1118	9	40	59	26	50	100
1119	9	40	59	27	50	100
1120	9	40	59	21	5	10
1121	9	40	59	25	50	100
1122	9	40	59	22	100	200
1123	9	40	59	23	100	200
1124	9	40	59	24	8	15
1125	9	40	59	28	15	30
1126	9	40	59	30	75	150
1127	9	60	131	5	36	72
1128	9	60	131	6	72	144
1129	9	60	131	12	125	250
1130	9	60	131	13	250	500
1131	9	60	131	16	100	200
1132	9	60	131	17	20	40
1133	9	60	131	29	50	100
1134	9	60	131	7	20	40
1135	9	60	131	11	100	200
1136	9	60	131	14	63	125
1137	9	60	131	15	125	250
1138	9	60	131	26	75	150
1139	9	60	131	27	75	150
1140	9	60	131	21	5	10
1141	9	60	131	25	50	100
1142	9	60	131	22	100	200
1143	9	60	131	23	100	200
1144	9	60	131	24	10	20
1145	9	60	131	28	25	50
1146	9	60	131	30	100	200
1147	9	132	195	5	72	144
1148	9	132	195	6	144	288
1149	9	132	195	12	150	300
1150	9	132	195	13	300	600
1151	9	132	195	16	100	200
1152	9	132	195	17	25	50
1153	9	132	195	29	100	200
1154	9	132	195	7	25	50
1155	9	132	195	11	200	400
1156	9	132	195	14	75	150
1157	9	132	195	15	150	300
1158	9	132	195	26	75	150
1159	9	132	195	27	75	150
1160	9	132	195	21	5	10
1161	9	132	195	25	50	100
1162	9	132	195	22	100	200
1163	9	132	195	23	100	200
1164	9	132	195	24	13	25
1165	9	132	195	28	50	100
1166	9	132	195	30	125	250
1167	9	196	251	5	144	288
1168	9	196	251	6	288	576
1169	9	196	251	12	175	350
1170	9	196	251	13	350	700
1171	9	196	251	16	100	200
1172	9	196	251	17	50	100
1173	9	196	251	29	100	200
1174	9	196	251	7	50	100
1175	9	196	251	11	400	800
1176	9	196	251	14	88	175
1177	9	196	251	15	175	350
1178	9	196	251	26	75	150
1179	9	196	251	27	75	150
1180	9	196	251	21	5	10
1181	9	196	251	25	50	100
1182	9	196	251	22	100	200
1183	9	196	251	23	100	200
1184	9	196	251	24	25	50
1185	9	196	251	28	75	150
1186	9	196	251	30	150	300
1187	9	252	300	5	288	576
1188	9	252	300	6	576	1152
1189	9	252	300	12	200	400
1190	9	252	300	13	400	800
1191	9	252	300	16	100	200
1192	9	252	300	17	75	150
1193	9	252	300	29	100	200
1194	9	252	300	7	75	150
1195	9	252	300	11	800	1600
1196	9	252	300	14	100	200
1197	9	252	300	15	200	400
1198	9	252	300	26	75	150
1199	9	252	300	27	75	150
1200	9	252	300	21	5	10
1201	9	252	300	25	50	100
1202	9	252	300	22	100	200
1203	9	252	300	23	100	200
1204	9	252	300	24	50	100
1205	9	252	300	28	100	200
1206	9	252	300	30	175	350
