int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
11051	140级战士翅膀		1_2_3	12	0	1	3	1	1	0	1	0	0	58	116	0	0	0	0	0	29	29	0	0	0	0	0	0	0	1445	0	0	0	0	70	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	3	3	0	0	0	0	0	0	0	145	0	0	0	0	7	0	0	0	0	0	0	
11052	140级战士法宝		1_2_3	13	0	1	3	1	1	0	1	0	0	0	0	0	0	1000	0	0	45	45	0	0	0	0	0	113	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	5	5	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0	
11053	屠龙刀		1_2_3	11	0	4	5	1	1	0	1	0	0	803	1601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11054	龙炎铠		1_2_3	2	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1601	803	1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	81	134	0	0	0	0	0	0	0	0	0	0	0	
11055	龙炎护腿		1_2_3	3	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1334	684	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	69	107	0	0	0	0	0	0	0	0	0	0	0	
11056	龙炎盔		1_2_3	1	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1070	539	803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	54	81	0	0	0	0	0	0	0	0	0	0	0	
11057	龙炎鞋		1_2_3	5	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803	417	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	42	54	0	0	0	0	0	0	0	0	0	0	0	
11058	龙炎护手		1_2_3	4	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	272	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	28	28	0	0	0	0	0	0	0	0	0	0	0	
11059	龙炎戒指		1_2_3	6	0	4	5	1	1	0	1	0	0	272	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11060	龙炎项链		1_2_3	7	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2657	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	60	0	0	0	0	0	0	0	0	0	
11061	200级战士翅膀		1_2_3	12	0	3	4	1	1	0	1	0	0	0	0	0	0	1250	0	0	68	68	0	0	0	0	0	170	170	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	7	7	0	0	0	0	0	17	17	0	0	0	0	0	7	0	0	0	0	0	0	
11062	200级战士法宝		1_2_3	13	0	4	5	1	1	0	1	0	0	1847	3683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11063	青龙刀		1_2_3	11	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3683	1847	3069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369	185	307	0	0	0	0	0	0	0	0	0	0	0	
11064	勇气铠		1_2_3	2	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3069	1574	2461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	158	247	0	0	0	0	0	0	0	0	0	0	0	
11065	勇气护腿		1_2_3	3	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2461	1240	1847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	247	124	185	0	0	0	0	0	0	0	0	0	0	0	
11066	勇气盔		1_2_3	1	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1847	960	1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	96	124	0	0	0	0	0	0	0	0	0	0	0	
11067	勇气鞋		1_2_3	5	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1240	626	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	63	63	0	0	0	0	0	0	0	0	0	0	0	
11068	勇气护手		1_2_3	4	0	4	5	1	1	0	1	0	0	626	1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11069	勇气戒指		1_2_3	6	0	4	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6112	0	700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	612	0	70	0	0	0	0	0	0	0	0	0	
11070	勇气项链		1_2_3	7	0	4	5	1	1	0	1	0	0	122	244	0	0	0	0	0	61	61	0	0	0	0	0	0	0	3035	0	0	0	0	0	0	0	0	0	0	0	0	0	13	25	0	0	0	0	0	7	7	0	0	0	0	0	0	0	304	0	0	0	0	0	0	0	0	0	0	0	
11071	260级战士法宝		1_2_3	13	0	4	5	1	1	0	1	0	0	0	0	0	0	1500	0	0	102	102	0	0	0	0	0	255	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	11	11	0	0	0	0	0	26	26	0	0	0	0	0	0	0	0	0	0	0	0	
11072	幻影之翼	equip/gs_wing_huanyingzhiyi.unity3d	4_5_6	12	0	3	4	1	1	0	1	0	0	0	0	0	0	1250	0	0	68	68	0	0	0	0	0	170	170	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	7	7	0	0	0	0	0	17	17	0	0	0	0	0	7	0	0	0	0	0	0	
5001	女神头盔测试数据	equip/gs_s_nvshen_head.unity3d	4_5_6	1	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	314	1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	32	157	0	0	0	0	0	0	0	0	0	0	0	2000
5002	女神战甲测试数据	equip/gs_s_nvshen_chest.unity3d	4_5_6	2	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	793	626	2611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	63	262	0	0	0	0	0	0	0	0	0	0	0	2000
5003	女神护手测试数据	equip/gs_s_nvshen_hand.unity3d	4_5_6	4	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	162	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	17	53	0	0	0	0	0	0	0	0	0	0	0	2000
5004	女神护腿测试数据	equip/gs_s_nvshen_leg.unity3d	4_5_6	3	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	595	464	2089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	47	209	0	0	0	0	0	0	0	0	0	0	0	2000
5005	女神战靴测试数据	equip/gs_s_nvshen_foot.unity3d	4_5_6	5	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	162	1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	17	105	0	0	0	0	0	0	0	0	0	0	0	2000
5006	紫焰之弓测试数据	equip/gs_weapon_ziyangong.unity3d	4_5_6	11	9999	1	5	1	1	1	1	0	0	200	400	0	0	0	0	0	0	0	0	0	0	0	0	26	26	260	0	0	0	0	0	0	0	0	0	0	0	0	0	20	40	0	0	0	0	0	0	0	0	0	0	0	0	3	3	26	0	0	0	0	0	0	0	0	0	0	0	
6001	传说头盔测试数据	equip/fs_m_chuanshuo_head.unity3d	7_8_9	1	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	441	1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	45	149	0	0	0	0	0	0	0	0	0	0	0	3000
6002	传说战甲测试数据	equip/fs_m_chuanshuo_chest.unity3d	7_8_9	2	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	589	880	2472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	88	248	0	0	0	0	0	0	0	0	0	0	0	3000
6003	传说护手测试数据	equip/fs_m_chuanshuo_hand.unity3d	7_8_9	4	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	221	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	23	50	0	0	0	0	0	0	0	0	0	0	0	3000
6004	传说护腿测试数据	equip/fs_m_chuanshuo_leg.unity3d	7_8_9	3	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	660	1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	66	198	0	0	0	0	0	0	0	0	0	0	0	3000
6005	传说战靴测试数据	equip/fs_m_chuanshuo_foot.unity3d	7_8_9	5	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	221	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	23	99	0	0	0	0	0	0	0	0	0	0	0	3000
6006	魔域之杖测试数据	equip/fs_weapon_moyuzhang.unity3d	7_8_9	10	9999	1	5	1	1	1	1	0	0	0	0	261	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6007	亡灵之盾测试数据	equip/fs_weapon_wanglingdun.unity3d	7_8_9	8	9999	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	116	1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	157	0	0	0	0	0	0	0	0	0	0	0	
6008	时空之翼测试数据	equip/fs_wing_shikongzhiyi.unity3d	7_8_9	12	0	1	5	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	116	1561	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	157	0	0	0	0	7	0	0	0	0	0	0	









































































